entry_index,word_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,positive,negative
6015,64,0,0,0,0,0,0,1,1,1,0
6023,168,0,0,0,1,0,1,0,0,1,1
6057,30,0,1,0,1,0,0,0,0,0,0
6075,94,1,2,1,1,2,1,1,2,5,1
6089,28,0,0,0,0,0,0,0,0,0,0
6110,68,0,0,0,0,0,0,0,0,0,0
6126,13,0,0,0,0,0,0,0,0,0,0
6146,95,4,2,1,1,2,1,1,3,5,4
6170,9,0,0,0,0,0,0,0,0,0,0
6193,24,0,0,0,0,0,0,0,0,2,0
6228,26,0,0,0,0,0,0,0,0,2,0
6253,11,0,0,0,0,0,0,0,0,0,0
6274,168,0,2,1,0,2,1,0,4,8,0
6284,93,0,1,0,0,1,0,0,1,2,0
6311,197,0,0,0,0,3,1,0,4,5,1
6341,355,1,3,0,2,13,1,2,12,20,6
6368,111,0,4,0,0,3,0,2,3,3,0
6391,19,0,0,0,0,0,0,0,0,0,0
6404,124,1,2,0,0,2,1,1,2,5,1
6414,259,0,3,1,1,4,5,1,4,6,5
6420,121,1,0,0,1,1,2,1,1,3,2
6427,56,0,2,1,1,2,1,2,2,2,1
6441,563,3,10,2,5,12,5,5,13,20,5
6454,537,3,19,5,3,19,5,11,19,25,2
6467,228,2,8,2,2,8,2,4,3,9,2
6484,584,1,3,0,1,2,4,1,3,5,6
6506,183,0,0,0,0,1,0,1,2,4,0
6524,87,0,2,0,3,2,3,0,2,4,3
6530,63,2,0,0,1,0,1,0,1,4,1
